file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
record,0.0,7.6586875,data,-47.89200697617493,-50.41975048610142,1.5293842152703914,4.025562726917013
record,0.0,7.317375,processing,,,,
